activity_name,total,n_sessions,avg_per_session
N/A,1445803,167924,8.609865177103927
OtherLegalMenu,31047,13721,2.2627359521900736
PlayMOH300s,18911,8668,2.181702814951546
QueueMenu1,17481,8087,2.1616174106590824
CallbackRetry,2603,1298,2.005392912172573
SetCallerID,12190,6093,2.0006564910553095
ClosedQueueMenu,85626,48120,1.779426433915212
HIVMenu,3412,2044,1.6692759295499022
CollectCallbackNumber,1534,987,1.5542046605876394
ImmigrationMenu,5153,3530,1.4597733711048158
TenantMenu,16529,12347,1.3387057584838422
DivorceOrParentingMenu,14581,11082,1.3157372315466522
HousingMenu,22184,17913,1.2384301903645398
AddressFaxHoursMenu,2449,1995,1.2275689223057644
ImmigrationOtherMenu,1149,941,1.2210414452709883
LegalServerScreenPop,11158,9246,1.2067921263248973
ClosedMenu,8276,6862,1.2060623724861557
SeniorsADAPTMenu,20989,17415,1.2052253804191788
LegalMenu2,106794,89235,1.1967725668179525
OtherLegalOtherMenu,13058,10917,1.1961161491252175
ScreenPopProcessComplete,827,701,1.1797432239657633
ConfirmCallbackNumber,1067,923,1.1560130010834235
SeniorsMenu,119259,103867,1.1481895115869334
OtherLegalCriminalCaseMenu,2483,2171,1.1437125748502994
OtherLegalPersonalInjuryMenu,2326,2043,1.1385217816935878
EmploymentMenu,5051,4513,1.1192111677376468
WorkersCompMenu,185,166,1.1144578313253013
LanguageSelectionMenu,171106,153770,1.112739806204071
FamilyMenu,26335,23824,1.105397918065816
PreTenantMenu,15321,13934,1.0995406918329267
BenefitsMenu,7810,7196,1.0853251806559199
MainMenu,153151,142258,1.0765721435701332
ChildSupportMenu,2343,2179,1.075263882514915
TenantDeterrenceMenu,4413,4110,1.0737226277372263
SuburbanSeniorsMenu,8624,8043,1.072236727589208
ComplimentOrComplaintMenu,982,918,1.0697167755991286
AppointmentMenu,12960,12231,1.0596026490066226
ReadANI,9112,8722,1.044714515019491
HelpWithLegalorOtherReasonMenu,11678,11206,1.042120292700339
SimpleDivorceMenu,2499,2406,1.0386533665835411
SuburbsOrCityMenu,27329,27136,1.0071123231132075
SeniorsConfirmationMenu,29174,29112,1.0021297059631766
LegalMenu1,92587,92434,1.0016552350866563
ADAPTQueue,364,364,1
ADAPTSPQueue,28,28,1
ADAPTSubSeniorsQueue,11,11,1
ADAPTSubSeniorsSPQueue,2,2,1
BenefitsQueue,756,756,1
BenefitsSPQueue,93,93,1
BenefitsSubSeniorsQueue,18,18,1
BenefitsSubSeniorsSPQueue,9,9,1
CCB,8663,8663,1
ClinicVoicemailTransfer,23840,23840,1
ConsumerQueue,1377,1377,1
ConsumerSPQueue,112,112,1
ConsumerSubSeniorsQueue,19,19,1
ConsumerSubSeniorsSPQueue,3,3,1
CriminalRecordsVoicemailTransfer,2186,2186,1
DisconnectCallbackContact,57,57,1
DisconnectContact,6093,6093,1
DisconnectContact1,13241,13241,1
DisconnectContact2,156,156,1
EducationQueue,80,80,1
EducationSPQueue,15,15,1
EmploymentQueue,485,485,1
EmploymentSPQueue,80,80,1
EmploymentSubSeniorsQueue,6,6,1
EmploymentSubSeniorsSPQueue,1,1,1
FamilyQueue,1838,1838,1
FamilySPQueue,251,251,1
FamilySubSeniorsQueue,13,13,1
FamilySubSeniorsSPQueue,3,3,1
FarmworkerMainMenu,526,526,1
FrontDeskTransfer,2478,2478,1
FrontDeskTransfer1,5854,5854,1
FrontDeskTransfer2,6704,6704,1
FrontDeskTransfer3,467,467,1
GetLoggedInADAPTAgents,450,450,1
GetLoggedInADAPTSPAgents,35,35,1
GetLoggedInADAPTSubSeniorsAgents,15,15,1
GetLoggedInADAPTSubSeniorsSPAgents,2,2,1
GetLoggedInBenefitsAgents,928,928,1
GetLoggedInBenefitsSPAgents,118,118,1
GetLoggedInBenefitsSubSeniorsAgents,28,28,1
GetLoggedInBenefitsSubSeniorsSPAgents,12,12,1
GetLoggedInConsumerAgents,1731,1731,1
GetLoggedInConsumerSPAgents,144,144,1
GetLoggedInConsumerSubSeniorsAgents,33,33,1
GetLoggedInConsumerSubSeniorsSPAgents,9,9,1
GetLoggedInEducationAgents,106,106,1
GetLoggedInEducationSPAgents,21,21,1
GetLoggedInEmploymentAgents,616,616,1
GetLoggedInEmploymentSPAgents,93,93,1
GetLoggedInEmploymentSubSeniorsAgents,9,9,1
GetLoggedInEmploymentSubSeniorsSPAgents,1,1,1
GetLoggedInFamilyAgents,2424,2424,1
GetLoggedInFamilySPAgents,300,300,1
GetLoggedInFamilySubSeniorsAgents,25,25,1
GetLoggedInFamilySubSeniorsSPAgents,7,7,1
GetLoggedInHomeownerSubSeniorsAgents,23,23,1
GetLoggedInHousingAgents,1200,1200,1
GetLoggedInHousingSPAgents,26,26,1
GetLoggedInHousingSubSeniorsAgents,35,35,1
GetLoggedInHousingSubSeniorsSPAgents,2,2,1
GetLoggedInImmigrationAgents,66,66,1
GetLoggedInImmigrationSPAgents,194,194,1
GetLoggedInOtherSubSeniorsAgents,47,47,1
GetLoggedInOtherSubSeniorsSPAgents,8,8,1
GetLoggedInSubSeniorADAPTAgents,306,306,1
GetLoggedInSubSeniorADAPTSPAgents,20,20,1
GetLoggedInSubSeniorBenefitsAgents,819,819,1
GetLoggedInSubSeniorBenefitsSPAgents,115,115,1
GetLoggedInSubSeniorConsumerAgents,638,638,1
GetLoggedInSubSeniorConsumerSPAgents,74,74,1
GetLoggedInSubSeniorEmploymentAgents,187,187,1
GetLoggedInSubSeniorEmploymentSPAgents,44,44,1
GetLoggedInSubSeniorFamilyAgents,576,576,1
GetLoggedInSubSeniorFamilySPAgents,64,64,1
GetLoggedInSubSeniorHomeownerAgents,554,554,1
GetLoggedInSubSeniorHomeownerSPAgents,45,45,1
GetLoggedInSubSeniorOtherAgents,1483,1483,1
GetLoggedInSubSeniorOtherSPAgents,153,153,1
GetLoggedInSubSeniorTenantAgents,865,865,1
GetLoggedInSubSeniorTenantSPAgents,38,38,1
HIVVoicemailTransfer,820,820,1
HolidayPrompt,755,755,1
HomeownerSubSeniorsQueue,16,16,1
HousingQueue,1007,1007,1
HousingSPQueue,21,21,1
HousingSubSeniorsQueue,17,17,1
HousingSubSeniorsSPQueue,2,2,1
ImmigrationQueue,55,55,1
ImmigrationSPQueue,163,163,1
IntakePreQueueMessage1,6939,6939,1
MigrantVoicemailTransfer,61,61,1
OtherSubSeniorsQueue,33,33,1
OtherSubSeniorsSPQueue,8,8,1
PlayCCBConfirmation,8663,8663,1
PreQueueMessage2,11323,11323,1
SeniorNotCookCoMenu,1269,1269,1
StaffDirectoryEnglishTransfer,25327,25327,1
StaffDirectorySpanishTransfer,3739,3739,1
SubSeniorADAPTQueue,255,255,1
SubSeniorADAPTSPQueue,7,7,1
SubSeniorBenefitsQueue,662,662,1
SubSeniorBenefitsSPQueue,42,42,1
SubSeniorConsumerQueue,498,498,1
SubSeniorConsumerSPQueue,42,42,1
SubSeniorEmploymentQueue,143,143,1
SubSeniorEmploymentSPQueue,17,17,1
SubSeniorFamilyQueue,462,462,1
SubSeniorFamilySPQueue,27,27,1
SubSeniorHomeownerQueue,441,441,1
SubSeniorHomeownerSPQueue,22,22,1
SubSeniorOtherQueue,1159,1159,1
SubSeniorOtherSPQueue,62,62,1
SubSeniorPreQueueMessage1_1,4778,4778,1
SubSeniorPreQueueMessage1_2,165,165,1
SubSeniorTenantQueue,655,655,1
SubSeniorTenantSPQueue,14,14,1
ThankYouGoodbye,666,666,1
TraffickingVoicemailTransfer,136,136,1
TransferToSafeHaven,412,412,1
VeteransBenefitsVoicemailTransfer,181,181,1
